Name,Position,Team,Price,1,2,3,4,5,6
Fernandes,Midfielder,Spurs,4.8,0,0,0,0,0,0
Muto,Forward,Newcastle,4.8,0,0,0,0,0,0
Ajayi,Defender,West Brom,4.8,1.1,3.1,2.2,2.3,0.8,2.4
Long,Defender,Burnley,4.5,2.4,1.4,2.3,1.8,1.9,2.5
Gabriel,Defender,Arsenal,5.1,3,3.1,2.3,4.2,2.6,2.9
Pereira,Defender,Leicester,5.9,0,1.3,0.9,0.7,0.8,0.6
Mata,Midfielder,Man Utd,5.9,2.5,1.8,1.7,1.6,1.9,2.4
Henderson,Goalkeeper,Man Utd,5.3,2.4,1.9,2,2.3,2.2,1.9
Neves,Midfielder,Wolves,5.3,2.7,2.4,2.6,2.9,2.7,2.9
Ream,Defender,Fulham,4.4,1.5,1,0.6,1.2,2,1.5
Ryan,Goalkeeper,Brighton,4.5,2.3,2.9,2.4,2.7,3.3,3.3
Davies,Midfielder,Everton,5.3,0.7,0.7,0.7,0.6,0.5,0.6
Casilla,Goalkeeper,Leeds,4.3,0.1,0.1,0.1,0.1,0.1,0
Virginia,Goalkeeper,Everton,4.4,0,0,0,0,0,0
Mee,Defender,Burnley,4.9,1.8,1.2,2.2,1.5,1.6,1.9
Kante,Midfielder,Chelsea,4.9,3,2.7,3.4,2.9,2.6,3
Laporte,Defender,Man City,6,2.8,4.6,5,2.7,5,2.9
Doherty,Defender,Spurs,5.8,2.9,2.5,3.4,3.1,2.9,3.5
Sharp,Forward,Sheffield Utd,5.7,0.5,0.5,0.5,0.4,0.4,0.4
Lacazette,Forward,Arsenal,8.4,4,3.2,2.8,3.7,3.9,3.5
Krafth,Defender,Newcastle,4.4,0.7,0.9,0.8,1.4,0.9,1.4
Lossl,Goalkeeper,Everton,4.4,0.1,0.1,0,0.1,0,0.1
Vinagre,Defender,Wolves,4.2,0,0,0,0,0,0
Willock,Midfielder,Arsenal,4.8,0.1,0.1,0.1,0.2,0.2,0.1
Stevens,Midfielder,Leeds,4.4,0,0,0,0,0,0
Gray,Midfielder,Leicester,5.3,0.6,0.4,0.4,0.7,0.4,0.5
Aurier,Defender,Spurs,5.2,1.5,1.4,1.9,1.8,1.6,1.8
Stephens,Midfielder,Burnley,4.4,0.7,1.2,1.4,1.2,1.3,1.3
Klich,Midfielder,Leeds,5.6,3.6,3,2.9,3.4,3.6,2.9
Mousset,Forward,Sheffield Utd,5.8,0,0,0,0.7,0.6,0.7
Greenwood,Midfielder,Man Utd,7.2,4.1,4.3,3.8,3.2,3.8,5
Yedlin,Defender,Newcastle,4.3,0.2,0.2,0.2,0.3,0.2,0.3
Lindelof,Defender,Man Utd,4.9,4.7,2.9,3.1,2.7,4.2,4.2
Pereira,Midfielder,West Brom,5.9,0,3.5,3.2,3,2.3,3.3
Soucek,Midfielder,West Ham,4.9,3.6,3.7,3.1,3.7,3.7,3.1
Shaw,Defender,Man Utd,4.9,0,0,0,0,0,0
Salisu,Defender,Southampton,4.3,0,0,0,0,0,0
Pogba,Midfielder,Man Utd,7.8,4,2.5,2.8,2.3,2.9,3.2
Castagne,Defender,Leicester,5.7,0,4.7,3.9,4.2,3.8,2.5
Alderweireld,Defender,Spurs,5.4,1.5,1.4,2,1.9,1.7,1.9
Aubameyang,Midfielder,Arsenal,11.7,5.4,4.5,4.2,5.3,4.9,4.4
Lascelles,Defender,Newcastle,4.4,2.1,2.4,2.2,3.9,2.6,3.6
Almiron,Midfielder,Newcastle,5.7,2.6,2.2,2.5,2.7,2.4,2.7
Maitland-Niles,Defender,Arsenal,4.8,0.8,0.9,0.7,1,0.8,0.8
Minamino,Midfielder,Liverpool,6.1,0.4,0.4,0.4,0.5,0.4,0.4
Sokratis,Defender,Arsenal,4.9,0,0,0,0,0,0
Maupay,Forward,Brighton,6.5,3.3,3.4,3.5,2.9,3.7,4
Williams,Defender,Man Utd,4.3,3.8,2.5,2.4,1.9,3.1,3.2
Tarkowski,Defender,Burnley,5.4,3,1.7,2.9,2.1,2.5,3.1
Taylor,Defender,Burnley,4.5,3.3,1.9,2.9,2.5,2.8,3.5
Rodak,Goalkeeper,Fulham,4.4,0.4,1.6,0.2,0.3,0.6,0.4
McGoldrick,Forward,Sheffield Utd,5.3,2,2.3,2.1,1.9,1.9,1.9
Valery,Defender,Southampton,4.8,0.2,0.2,0.1,0.3,0.1,0.1
Aguero,Forward,Man City,10.3,0,3.3,4.7,2.9,4.2,3.2
Jordao,Midfielder,Wolves,4.4,0,0,0,0,0,0
Smallbone,Midfielder,Southampton,4.5,0,0.9,0.7,0.8,0.7,0.7
Dubravka,Goalkeeper,Newcastle,4.9,0,0,0,0,0,0
Saka,Midfielder,Arsenal,5.3,2.6,2.2,1.9,2.6,2.4,2.2
Matip,Defender,Liverpool,5.4,2.7,2.8,2.8,3.5,2.2,2.4
Baldock,Defender,Sheffield Utd,5.3,3.1,3.7,3.1,2.2,2.7,3.2
Morgan,Defender,Leicester,4.4,0.3,0.4,0.4,0.4,0.4,0.3
Walton,Goalkeeper,Brighton,4,0,0.1,0.8,0,0,0
Ozil,Midfielder,Arsenal,6.8,0,0,0,0,0,0
Lemina,Midfielder,Fulham,4.5,0.8,1.2,1.1,1.2,1.4,1.3
Guilbert,Defender,Aston Villa,4.4,0.4,0.2,0.4,0.3,0.4,0.3
DeBruyne,Midfielder,Man City,11.5,4.8,6.1,8,4.7,7.8,5.5
Nakamba,Midfielder,Aston Villa,4.4,0.1,0.1,0.1,0.1,0.1,0.1
